Project ID,Project,Project Manager,Organization,Region,Plan Start,Plan Finish,OD,AD,BAC,Foreign,AC,ETC
2194,Energy Efficiency & Conservation Programme (PGDP- DLI-5),Energy Department- Punjab Energy Efficiency & Conservation Agency,Energy Department,Punjab Based,18-Dec-20,30-Jun-26,67,28,3615.02,0,3500,0
7189,Upgradation and Environmental Improvement of Chungi No. 09 Disposal Station Multan.,WASA Multan,HUD&PHED,South Single,24-Dec-21,30-Jun-27,67,21,3432.84,0,2630.63,452.22
24313,Addition / Alteration & Improvement Works in GORs- Lahore,Communication & Works Department,S&GAD,North Single,01-Jul-23,30-Jun-26,37,12,3400,0,3059.21,190.79
25616,Punjab Rozgar,Punjab Small Industries Corporation (PSIC),Industries- Commerce & Investment,Punjab Based,01-Apr-20,29-Jun-26,76,32,10000,0,4790.25,4509.75
26215,Establishment of 200 Bedded Mother & Child Hospital in District Layyah,Infrastructure Development Authority Punjab (IDAP),Federal Fund- Health & Population Department,South Single,15-Mar-21,14-Jul-25,53,26,5944.23,0,5444.23,0
29674,Establishment of University of Child Health Sciences at Lahore ,Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,North Single,01-Jul-21,29-Jun-26,61,24,4265.75,0,1500,2265.75
29803,Project Readiness Financing (PRF) for Punjab Provincial Projects- Punjab Intermediate Cities Improvement Investment Program (PHASE-II),LG&CD Department,LG&CD Department,Multiple Region,30-Nov-20,28-Jun-25,56,28,4625.52,1,2531,2054.52
29843,Re-construction of Old P&D Building- Lahore,S&GAD,S&GAD,North Single,01-Jul-23,30-Jun-26,37,12,5867.61,0,5000,866.61
29938,Establishment of 200 Bedded Mother & Child Hospital in District Rajanpur,Infrastructure Development Authority Punjab (IDAP),Federal Fund- Health & Population Department,South Single,15-Mar-21,14-Mar-24,37,26,9028.75,0,3867.03,5160.72
30169,Construction of Flyover at Nadirabad Phatak to Industrial Estate - Multan.,Communication & Works Department,Roads,South Single,04-Feb-20,30-Jun-28,102,33,5377.16,0,4114.32,1162.85
32587,Design and Construction of Net Zero Energy Building (ACEIP - DLI-8),Energy Department,Energy Department,North Single,01-Jul-20,30-Jun-27,85,30,5781.95,0,2085,3505.15
32737,Punjab Human Capital Investment Project (PHCIP) ,Primary and Secondary Healthcare Department- Punjab Social Protection Authority- School Education Department,Planning & Development Board- Punjab,Multiple Region,30-Apr-20,30-Jun-26,75,31,41664,1,31811,167
32962,Enhanced Air Quality Monitoring System In Punjab (DLI-2- PGDP) ,Environment Protection & Climate Change Department,Environment Protection & Climate Change Department,Punjab Based,01-Jul-21,30-Jun-25,49,24,5205.3,0,3398.5,1026.8
33405,Establishment of Mother & Child Block- Teaching Hospital- DG Khan ,Communication & Works Department- DG Khan Medical College,Specialized Healthcare and Medical Education Department,South Single,01-Jul-20,30-Jun-26,73,30,4463.76,0,1081.94,2381.82
33884,Enhanced Water Quality Monitoring System In Punjab (DLI-2- PGDP),Environment Protection & Climate Change Department,Environment Protection & Climate Change Department,Punjab Based,01-Jul-20,30-Jun-24,49,30,2972.72,0,1144.9,1197.82
34010,Extension of Colony Protection Bund of Marala Barrage and Realignment of Tunnelwah Nullah in Sialkot District,Irrigation,Irrigation,North Single,01-Jul-20,30-Jun-26,73,30,3162.29,0,708,1854.29
34257,Establishment of 200 Bedded Mother & Child Hospital in District Bahawalnagar,Infrastructure Development Authority Punjab (IDAP),Federal Fund- Health & Population Department,South Single,01-Mar-21,30-Jun-25,53,26,6385.33,0,3375.34,2010
34384,Construction of South Punjab Secretariat & GOR At Bahawalpur and Multan ,Infrastructure Development Authority Punjab (IDAP),S&GAD SPb,South Single,11-Feb-21,30-Jun-25,53,27,7407.03,0,3522.37,3883.65
34413,Induction of Eco-Friendly Buses in Cities of Punjab (DLI-6 PGDP),Punjab Transport Company (PTC)- GoPb- Transport & Masstransit Department- GoPb,Transport & Masstransit Department- GoPb,North Single,03-Nov-23,31-May-26,31,10,4582.59,0,4151.78,215.81
34447,Extension of District Courts Complex Multan,Communication & Works Department- Infrastructure Development Authority Punjab (IDAP),Judiciary,South Single,10-Feb-22,30-Jun-27,66,21,5624.02,0,2448.45,3075.56
34471,Provision of Infrastructural- Academic and Operational Facilities to the Punjab University of Technology- Rasul- M.B.Din ,Communication & Works Department,Commerce & Investment,North Single,01-Jul-21,29-Jun-26,61,24,7525.54,0,5049.41,2076.13
34473,Upgradation of DHQ Hospital District Hafizabad ,Health & Population Department,Federal Fund- Health & Population Department,North Single,24-Mar-21,30-Jun-24,40,26,9795.18,0,6013.84,2781.34
35568,Koh-E-Suleman Improvement Project (KSIP),Planning & Development Board- Punjab,Planning & Development Board- Punjab,South Single,01-Jul-21,30-Jun-26,61,24,5712,0,3573.03,168.97
35995,Construction of Sorra Dam,Irrigation,Irrigation,South Single,01-Jul-21,30-Jun-26,61,24,8151.58,0,1392,6049.58
36137,Establishment of University of Applied Engineering and Emerging Technologies (UAEET)- Sialkot,Infrastructure Development Authority Punjab (IDAP),Higher Education Department,North Single,08-Sept-21,30-Jun-27,71,23,17685.7,0,3169.79,14415.92
