Project ID,Project,Project Manager,Organization,Region,Plan Start,Plan Finish,OD,AD,BAC,Foreign,AC,ETC,,
130,Establishment of Fatima Jinnah Institute of Dental Sciences- Jubilee Town- Lahore,Communication & Works Department- Punjab Information Technology Board (PITB),Specialized Healthcare and Medical Education Department,North Single,1-Apr-13,30-Jun-26,161,75,4480.58,0,3801.19,0.00,,
989,Flood Protection of Sialkot against Aik- Bhed- and Palkhu Nullah,Irrigation,Irrigation,North Single,10-Jun-15,30-Jun-26,135,61,4787.15,0,3643.68,1043.47,,
2194,Energy Efficiency & Conservation Programme (PGDP- DLI-5),Energy Department- Punjab Energy Efficiency & Conservation Agency,Energy Department,Punjab Based,18-Dec-20,30-Jun-26,67,28,3615.02,0,3500.00,0.00,,
2607,Land Acquisition for Jalalpur Irrigation Project,Irrigation,Irrigation,North Single,5-Jan-16,31-Jul-25,117,58,3663.95,0,3662.95,0.00,,
3293,Enhanced HIV / AIDS Control Programme Punjab (3 Years) (Phase-II),Directorate General Health Services Punjab- Health- Health & Population Department,Health & Population Department,Punjab Based,1-Jul-16,30-Jun-26,122,55,3829.87,0,2976.34,0.00,,
4013,Punjab Intermediate Cities Improvement Investment Prgramme,LG&CD Department,Government of Punjab,North Single,1-Jul-16,25-Jun-26,122,55,62280.90,1,37361.00,14263.20,,
4518,Construction of Dadhocha Dam,Government of The Punjab- Irrigation,Government of Punjab- Planning & Development Board- Punjab,North Single,1-Jul-17,18-Jul-26,110,49,14454.26,0,9233.83,3800.43,,
4707,Punjab Tourism For Economic Growth Project (PTEGP) - World Bank Assisted,Planning & Development Board- Punjab,Planning & Development Board- Punjab,Punjab Based,10-Oct-17,30-Jun-25,94,47,8525.00,1,8000.00,125.00,,
6350,Southern Punjab Poverty Alleviation Project (SPPAP)-IFAD Assisted,Planning & Development Board- Punjab,Planning & Development Board- Punjab,Multiple Region,30-Sept-11,31-Mar-28,201,84,25243.13,1,20017.55,665.45,,
6822,Upscaling of Green Pakistan Program,Forestry- Wildlife & Fisheries,Government of Punjab,Punjab Based,1-Jul-16,30-Jun-28,146,55,13187.63,0,8287.63,4850.00,,
7189,Upgradation and Environmental Improvement of Chungi No. 09 Disposal Station Multan.,WASA Multan,HUD&PHED,South Single,24-Dec-21,30-Jun-27,67,21,3432.84,0,2630.63,452.22,,
7434,Extension and Rehabilitation of Qutab Drain,Irrigation,Irrigation,South Single,1-Jul-17,31-Jul-25,98,49,3620.17,0,1902.33,1717.64,,
7608,Construction of Jalalpur Irrigation Project and its System,Irrigation,Irrigation,North Single,1-Jul-18,29-Jun-26,97,43,32721.46,1,21350.09,251.37,,
8295,Ten Billion Tree Tsunami Programme (Phase-1) Up-scaling of Green Pakistan Programme (Revised),Communication & Works Department- Fisheries- Forestry- Wildlife,Federal Fund- Government of Punjab,Punjab Based,1-Jul-16,30-Jun-25,110,55,2945.30,0,1554.28,1381.02,,
10125,Channelization of Deg Nullah (Land Acquisition Punjab Component),Irrigation,Irrigation,North Single,30-Nov-16,31-Jul-25,106,52,3175.49,0,3174.49,0.00,,
11979,Construction of Building of Women University- Sialkot on acquired piece of land at Sialkot,Higher Education Department,Higher Education Department,North Single,10-Feb-17,30-Jun-26,114,51,2946.89,0,2018.29,848.60,,
24313,Addition / Alteration & Improvement Works in GORs- Lahore,Communication & Works Department,S&GAD,North Single,1-Jul-23,30-Jun-26,37,12,3400.00,0,3059.21,190.79,,
24316,Renewable Energy Development Sector Investment Programme (REDSIP),Energy Department,Energy Department,North Single,7-Nov-13,30-Jun-26,154,71,12861.00,0,11478.81,1331.19,,
24627,PPIC3 Rawalpindi ,Communication & Works Department- Punjab Information Technology Board (PITB)- Punjab Safe Cities Authority (PSCA),Police Department,North Single,1-Apr-17,30-Dec-25,107,50,5251.29,0,3537.78,0.00,,
24630,PPIC3 Faisalabad,Communication & Works Department- Punjab Information Technology Board (PITB)- Punjab Safe Cities Authority (PSCA),Police Department,North Single,6-Jan-17,30-Dec-25,109,52,4215.60,0,3375.27,0.00,,
24631,PPIC3 Gujranwala ,Communication & Works Department- Punjab Information Technology Board (PITB)- Punjab Safe Cities Authority (PSCA),Police Department,North Single,6-Jan-17,30-Dec-25,109,52,4182.55,0,3009.55,0.00,,
